country,year,ear_l5l1_noc_rt
arg,1996,3.4
arg,1997,3.6
arg,1998,3.6
arg,1999,3.7
arg,2000,4.1
arg,2001,4.7
arg,2002,3.8
arg,2003,4.1
arg,2004,4.4
arg,2005,5.2
arg,2006,5.8
arg,2007,5.7
arg,2008,5.3
arg,2009,5.5
arg,2010,4.9
arm,2007,2.6
arm,2008,2.5
arm,2009,2.3
arm,2010,2.3
arm,2011,2.5
aus,1995,1.6
aus,1997,1.6
aus,1998,1.6
aus,1999,1.6
aus,2000,1.7
aus,2001,1.6
aus,2002,1.7
aus,2003,1.6
aus,2004,1.7
aus,2005,1.7
aus,2006,1.7
aus,2007,1.7
aus,2008,1.7
aus,2009,1.7
aus,2010,1.7
aut,2004,1.7
aut,2005,1.7
aut,2006,1.7
aut,2007,1.7
aut,2008,1.7
aut,2009,1.7
aut,2010,1.7
aze,1996,6.7
aze,1997,5.6
aze,1998,5.4
aze,1999,4.4
aze,2000,4.2
aze,2001,4.2
aze,2002,3.7
aze,2003,3.7
aze,2004,3.4
aze,2005,3.6
aze,2006,3.3
aze,2007,6.0
aze,2008,4.9
bel,1999,1.6
bel,2000,1.6
bel,2001,1.6
bel,2002,1.6
bel,2003,1.6
bel,2004,1.6
bel,2005,1.6
bel,2006,1.6
bel,2007,1.6
bel,2008,1.6
bel,2009,1.6
bra,1995,3.5
bra,1996,3.4
bra,1997,3.4
bra,1998,3.5
bra,1999,3.6
bra,2001,3.6
bra,2002,3.6
bra,2003,3.7
bra,2004,3.6
bra,2005,3.4
bra,2006,3.5
bra,2007,3.3
bra,2008,3.3
bra,2009,3.3
can,1997,2.0
can,1998,2.0
can,1999,2.0
can,2000,2.0
can,2001,2.0
can,2002,2.0
can,2003,2.0
can,2004,2.0
can,2005,2.0
can,2006,2.0
can,2007,2.0
can,2008,2.0
can,2009,1.9
can,2010,2.0
can,2011,1.9
che,1996,1.5
che,1998,1.5
che,2000,1.5
che,2002,1.5
che,2004,1.5
che,2006,1.5
che,2008,1.5
che,2010,1.5
chl,1998,2.0
chl,2000,2.0
chl,2003,1.7
chl,2006,1.8
chl,2009,1.7
col,1995,2.1
col,1996,2.3
col,1997,2.4
col,1998,2.3
col,1999,2.5
col,2000,3.2
col,2002,4.5
col,2003,4.5
col,2004,4.2
col,2005,3.8
col,2006,3.8
col,2007,4.3
col,2008,4.0
col,2009,4.2
col,2010,4.4
cri,1995,3.4
cri,1996,3.3
cri,1997,3.4
cri,1998,3.8
cri,1999,3.9
cri,2000,3.4
cri,2001,3.5
cri,2002,3.5
cri,2003,3.5
cri,2004,3.2
cri,2005,3.7
cri,2006,3.6
cri,2007,3.2
cri,2008,3.1
cri,2009,3.5
cri,2010,3.8
cze,1996,1.6
cze,1997,1.7
cze,1998,1.7
cze,1999,1.7
cze,2000,1.7
cze,2001,1.7
cze,2002,1.7
cze,2003,1.7
cze,2004,1.7
cze,2005,1.7
cze,2006,1.7
cze,2007,1.7
cze,2008,1.7
cze,2009,1.7
cze,2010,1.8
cze,2011,1.9
deu,1995,1.7
deu,1996,1.6
deu,1997,1.7
deu,1998,1.7
deu,1999,1.7
deu,2000,1.7
deu,2001,1.8
deu,2002,1.8
deu,2003,1.8
deu,2004,1.8
deu,2005,1.9
deu,2006,1.8
deu,2007,1.9
deu,2008,1.8
deu,2009,1.9
deu,2010,1.8
dnk,1996,1.5
dnk,1997,1.5
dnk,1998,1.5
dnk,1999,1.5
dnk,2000,1.5
dnk,2001,1.5
dnk,2002,1.5
dnk,2003,1.5
dnk,2004,1.5
dnk,2005,1.5
dnk,2006,1.5
dnk,2007,1.5
dnk,2008,1.6
dnk,2009,1.6
dnk,2010,1.6
ecu,1995,3.4
ecu,1996,3.9
ecu,1997,3.7
ecu,1998,4.0
ecu,1999,4.1
ecu,2000,4.6
ecu,2001,4.8
ecu,2002,3.7
ecu,2003,4.2
ecu,2004,3.9
ecu,2005,3.9
ecu,2006,3.5
ecu,2007,3.3
ecu,2008,3.2
ecu,2009,3.1
ecu,2010,3.0
ecu,2011,2.8
esp,2004,2.0
esp,2005,2.0
esp,2006,1.9
esp,2007,1.9
esp,2008,1.7
esp,2009,1.8
esp,2010,1.6
esp,2011,1.6
est,2005,2.2
est,2006,2.2
est,2007,2.2
est,2008,2.2
fin,1995,1.4
fin,1996,1.4
fin,1997,1.4
fin,1998,1.4
fin,1999,1.4
fin,2000,1.4
fin,2001,1.4
fin,2002,1.4
fin,2003,1.4
fin,2004,1.4
fin,2005,1.4
fin,2006,1.4
fin,2007,1.4
fin,2008,1.4
fin,2009,1.4
fin,2010,1.4
fra,1995,1.6
fra,1996,1.6
fra,1997,1.6
fra,1998,1.6
fra,1999,1.6
fra,2000,1.6
fra,2001,1.6
fra,2002,1.5
fra,2003,1.5
fra,2004,1.5
fra,2005,1.5
fra,2006,1.5
fra,2007,1.5
fra,2008,1.5
fra,2009,1.5
gbr,1997,3.3
gbr,1998,3.3
gbr,1999,3.2
gbr,2000,3.2
gbr,2001,3.3
gbr,2002,3.3
gbr,2003,3.2
gbr,2004,3.1
gbr,2005,3.3
gbr,2006,3.3
gbr,2007,3.2
gbr,2008,3.3
gbr,2009,3.3
gbr,2010,3.4
gbr,2011,3.4
grc,2004,1.7
grc,2005,1.7
grc,2006,1.7
grc,2007,1.7
grc,2008,1.6
grc,2010,1.6
hnd,1995,3.9
hnd,1996,3.8
hnd,1997,3.9
hnd,1998,3.6
hnd,1999,3.8
hnd,2000,0.0
hnd,2001,3.8
hnd,2002,4.3
hnd,2003,3.8
hnd,2004,3.9
hnd,2005,3.7
hnd,2006,3.7
hnd,2007,3.6
hnd,2008,3.4
hnd,2009,4.3
hnd,2010,3.7
hun,1995,1.9
hun,1996,1.9
hun,1997,1.9
hun,1998,1.9
hun,1999,2.0
hun,2000,2.1
hun,2001,1.8
hun,2002,1.8
hun,2003,1.9
hun,2004,2.0
hun,2005,1.9
hun,2006,1.9
hun,2007,1.8
hun,2008,1.7
hun,2009,1.8
hun,2010,1.8
irl,1997,1.9
irl,2000,1.7
irl,2003,1.9
irl,2004,1.7
irl,2005,1.8
irl,2006,1.9
irl,2007,1.9
irl,2008,1.8
irl,2009,1.9
irl,2010,1.8
isl,2004,1.8
isl,2005,1.8
isl,2006,1.8
isl,2007,1.8
isl,2008,1.8
isr,1995,5.2
isr,1996,5.3
isr,1997,4.6
isr,1998,4.5
isr,1999,4.4
isr,2000,4.4
isr,2001,4.6
isr,2002,2.9
isr,2003,2.9
isr,2004,2.9
isr,2005,2.9
isr,2006,3.0
isr,2007,2.9
isr,2008,2.8
isr,2009,2.9
isr,2010,2.9
ita,1995,1.5
ita,1998,1.5
ita,2000,1.4
ita,2002,1.6
ita,2004,1.5
ita,2006,1.5
ita,2008,1.5
ita,2010,1.5
jpn,1995,1.6
jpn,1996,1.6
jpn,1997,1.6
jpn,1998,1.6
jpn,1999,1.6
jpn,2000,1.6
jpn,2001,1.6
jpn,2002,1.6
jpn,2003,1.6
jpn,2004,1.6
jpn,2005,1.7
jpn,2006,1.7
jpn,2007,1.7
jpn,2008,1.6
jpn,2009,1.6
jpn,2010,1.6
kor,1995,1.8
kor,1996,1.7
kor,1997,1.7
kor,1998,1.8
kor,1999,1.8
kor,2000,1.8
kor,2001,1.8
kor,2002,1.8
kor,2003,1.8
kor,2004,1.8
kor,2005,1.8
kor,2006,1.9
kor,2007,1.9
kor,2008,1.9
kor,2009,1.9
kor,2010,1.9
ltu,2010,2.0
ltu,2011,2.1
lux,2008,1.9
lux,2009,1.9
lux,2010,1.8
lux,2011,1.8
lva,2008,2.5
lva,2009,3.1
lva,2010,3.3
lva,2011,3.2
mda,2006,2.3
mda,2007,2.4
mda,2008,2.4
mda,2009,2.2
mda,2010,2.3
mda,2011,2.4
mex,1995,2.9
mex,1996,2.9
mex,1997,3.0
mex,1998,2.8
mex,1999,2.7
mex,2000,2.8
mex,2001,2.8
mex,2002,2.7
mex,2003,2.7
mex,2004,2.9
mex,2005,2.9
mex,2006,2.8
mex,2007,2.7
mex,2008,2.8
mex,2009,2.8
mex,2010,2.9
mex,2011,2.7
mlt,2008,1.6
mlt,2009,1.7
mlt,2010,1.7
mlt,2011,2.8
nld,1995,1.6
nld,1996,1.6
nld,1997,1.6
nld,1998,1.7
nld,1999,1.7
nld,2000,1.7
nld,2001,1.7
nld,2002,1.7
nld,2003,1.6
nld,2004,1.6
nld,2005,1.6
nor,1997,1.4
nor,1998,1.4
nor,1999,1.4
nor,2000,1.4
nor,2001,1.4
nor,2002,1.5
nor,2003,1.4
nor,2004,1.5
nor,2005,1.5
nor,2006,1.5
nor,2007,1.5
nor,2008,1.5
nor,2009,1.6
nor,2010,1.6
nor,2011,1.6
nzl,1998,4.6
nzl,1999,4.8
nzl,2000,4.5
nzl,2001,4.5
nzl,2002,4.3
nzl,2003,4.1
nzl,2004,4.0
nzl,2005,4.1
nzl,2006,3.7
nzl,2007,3.9
nzl,2008,3.8
nzl,2009,3.6
nzl,2010,3.7
nzl,2011,3.5
pan,1995,3.4
pan,1996,3.5
pan,1997,3.5
pan,1998,3.7
pan,1999,3.3
pan,2000,3.3
pan,2001,3.3
pan,2002,3.5
pan,2003,4.0
pan,2004,3.6
pan,2005,3.8
pan,2006,3.8
pan,2007,3.6
pan,2008,3.6
pan,2009,3.4
pan,2010,3.1
per,1995,3.6
per,1997,3.3
per,1998,3.3
per,1999,3.4
per,2000,3.3
per,2001,4.1
per,2002,2.7
per,2003,2.6
per,2004,5.3
per,2005,5.0
per,2006,5.2
per,2007,5.4
per,2008,5.1
per,2009,4.7
per,2010,4.9
pol,1995,1.7
pol,1996,1.8
pol,1997,1.8
pol,1998,1.8
pol,1999,1.8
pol,2001,1.9
pol,2002,2.0
pol,2004,2.0
pol,2006,2.0
pol,2008,2.0
pol,2010,2.0
prt,1995,1.6
prt,1996,1.6
prt,1997,1.6
prt,1998,1.5
prt,1999,1.5
prt,2000,1.5
prt,2002,1.5
prt,2003,1.5
prt,2004,1.5
prt,2005,1.6
prt,2006,1.5
prt,2007,1.5
prt,2008,1.5
prt,2009,1.5
svk,2002,1.8
svk,2003,1.8
svk,2004,1.8
svk,2005,1.8
svk,2006,1.8
svk,2007,1.8
svk,2008,1.9
svk,2009,1.9
svk,2010,1.9
svk,2011,1.9
swe,2005,1.3
swe,2006,1.3
swe,2007,1.3
swe,2008,1.3
swe,2009,1.3
swe,2010,1.3
swe,2011,1.3
tur,2006,5.2
tur,2007,4.6
tur,2008,4.7
tur,2009,4.8
tur,2010,5.8
ury,2000,4.1
ury,2001,4.9
ury,2002,5.1
ury,2003,5.2
ury,2004,5.1
ury,2005,5.2
ury,2006,5.2
ury,2007,5.8
ury,2008,5.9
ury,2009,5.7
ury,2010,5.8
ury,2011,5.6
usa,1995,2.1
usa,1996,2.1
usa,1997,2.1
usa,1998,2.0
usa,1999,2.0
usa,2000,2.0
usa,2001,2.1
usa,2002,2.1
usa,2003,2.1
usa,2004,2.1
usa,2005,2.1
usa,2006,2.1
usa,2007,2.1
usa,2008,2.1
usa,2009,2.1
usa,2010,2.1
usa,2011,2.1
ven,1995,3.4
ven,1996,4.2
ven,1997,3.5
ven,1998,3.9
ven,1999,3.2
ven,2000,3.0
ven,2001,2.8
ven,2002,3.2
ven,2003,3.4
ven,2004,3.2
ven,2005,4.9
ven,2006,2.9
ven,2007,2.7
ven,2008,2.7
ven,2009,2.3
ven,2010,2.3
