country,year,ear_mree_mod_nb
arm,1996,7977.0
arm,2001,23747.0
blr,2003,103.2
blr,2007,110.0
blr,2010,115.0
arm,2007,71099.0
aut,1998,1888.0
aut,2009,1925.0
rou,1995,100.0
rou,1998,87.8
rou,2003,106.4
rou,2006,146.5
sau,2013,5580.0
phl,2001,5429.0
srb,1997,121.3
srb,1999,81.6
srb,2001,118.4
srb,2004,111.1
ukr,2002,118.2
ukr,2004,123.8
tjk,2009,115.4
tjk,2010,117.1
svk,2008,103.3
che,1999,-0.5
che,2000,-0.3
che,2001,1.5
che,2013,1.0
svn,1999,103.3
zaf,2008,5769.0
ukr,1996,96.6
ukr,1999,91.1
chn,1999,113.2
chn,2004,110.3
chn,2007,113.4
cri,2013,329573.0
col,2006,143.2
chl,2013,112.3
chl,2001,101.6
cyp,2000,2.7
cyp,2007,2.8
hrv,2003,102.5
hrv,2010,99.2
ury,1999,111.8
ury,2003,86.0
usa,2009,1522.0
hun,1999,105.5
geo,2011,98.1
idn,2010,265735.0
isr,1996,1.6
isr,2006,1.3
isr,2008,-0.7
isr,2009,-2.6
isr,2011,0.4
isl,1998,95.4
isl,2002,104.3
isl,2005,112.3
isl,2013,113.6
kor,2005,2791285.0
kor,2006,2886211.0
lva,2002,241.0
lva,2004,283.0
lva,2005,328.0
lux,2004,98.8
ltu,2004,1136.0
ltu,2005,1243.0
ltu,2006,1442.0
kgz,1995,110.0
kgz,2000,98.5
nzl,2001,2590.0
nzl,2002,2670.0
nic,2007,1549.0
nic,2011,1457.0
nic,2012,1435.5
mda,2006,114.2
aze,1998,119.9
aze,2000,118.1
aze,2004,120.4
arm,1995,2558.0
arm,1997,11913.0
arm,1998,16559.0
arm,2000,22889.0
blr,1995,95.0
blr,2001,129.6
arm,2011,100364.0
arm,2012,110295.0
aut,2002,1875.0
aut,2005,1865.0
aut,2010,1903.0
rou,1997,84.5
phl,2002,5368.0
srb,1998,99.0
ukr,2006,118.3
ukr,2012,114.4
tjk,1997,129.2
tjk,2001,125.7
svk,2011,98.4
che,1995,-0.5
che,2009,2.6
che,2012,1.5
svn,1998,101.6
zaf,2009,6003.0
ukr,1997,96.6
ukr,1998,96.2
chn,1995,101.8
chn,2002,115.4
col,2001,130.7
col,2011,147.4
bra,2003,1510.4
bra,2010,1797.5
cyp,1997,2.9
hrv,1999,105.9
ury,1998,110.0
ury,2006,93.8
ury,2007,98.2
ury,2009,109.1
hun,2001,108.1
hun,2006,104.1
hun,2010,96.6
hun,2012,99.1
geo,1999,102.2
geo,2002,113.6
geo,2004,117.7
geo,2010,100.2
kaz,2000,107.1
kaz,2004,114.6
kaz,2007,116.1
kaz,2009,103.2
kaz,2010,107.6
kaz,2012,107.0
kaz,2007,117.8
kaz,2008,97.5
kaz,2012,106.9
idn,1996,184820.0
ken,2008,-10.3
ken,2009,-4.9
idn,2004,282275.0
idn,2013,314335.9
isr,1995,2.1
isr,2001,3.0
isr,2012,0.6
isl,1997,88.6
isl,2008,115.2
kor,2003,2628887.6
lva,2006,404.0
lva,2011,633.0
lva,2012,669.0
lux,2000,96.7
lux,2011,102.1
kor,2007,2971366.0
kor,2011,2734177.9
ltu,2007,1705.0
ltu,2009,1968.0
nzl,2006,3170.0
nic,1998,1285.0
nic,2009,1508.0
nic,2010,1504.0
nic,2012,4143.3
mda,1996,105.6
aze,1999,119.6
aze,2008,105.3
aze,2010,105.2
aze,2013,103.7
arm,1999,20037.0
blr,1998,118.0
blr,1999,107.3
blr,2002,107.9
blr,2009,100.1
arm,2004,40603.0
phl,2006,4954.0
phl,2009,4739.0
phl,2011,4775.0
srb,2002,130.9
srb,2007,114.8
ukr,2010,110.2
tjk,2011,110.9
svk,2009,101.4
che,2006,0.1
svn,2002,102.0
svn,2007,102.2
zaf,2011,6766.0
cri,2004,268213.0
cri,2008,264903.0
col,1995,113.3
col,2004,136.0
col,2013,152.5
chl,2002,103.7
cyp,2005,2.7
cyp,2011,-0.6
cyp,2012,-0.8
hrv,2001,100.1
ury,1995,107.1
ury,2011,117.3
usa,1995,1157.0
usa,2007,1259.0
usa,2012,1275.0
hun,1998,103.5
hun,2000,103.4
hun,2002,112.3
hun,2003,107.0
hun,2013,101.7
geo,2006,124.6
kaz,1997,106.4
kaz,2008,99.0
kaz,2009,103.8
ken,2010,-0.4
idn,2012,301977.9
isr,2007,1.7
isl,2000,100.0
isl,2009,106.8
isl,2010,106.1
kor,2000,2281116.8
lva,1996,119.0
lva,1998,181.0
lva,1999,196.0
lva,2008,591.0
lva,2013,716.0
lux,1995,93.1
lux,1996,92.4
lux,2002,98.6
lux,2007,102.5
lux,2010,103.3
kor,2008,2717686.0
ltu,1998,885.0
ltu,2001,969.0
kgz,1996,101.0
kgz,2002,113.5
kgz,2003,110.3
nzl,2003,2760.0
nzl,2004,2880.0
nic,1996,1197.0
nic,1999,1342.0
nic,2004,1528.0
nic,2007,4470.9
nic,2009,4353.1
nic,2010,4341.6
nic,2011,4204.4
mda,1999,87.8
mda,2003,115.4
mda,2012,106.4
aze,2003,120.0
aze,2007,124.1
arm,2002,27027.0
blr,1996,105.1
blr,1997,114.3
blr,2008,109.0
arm,2003,33222.0
arm,2008,80189.0
aut,2000,1914.0
sau,2011,5031.0
phl,2004,5063.0
srb,2000,106.2
srb,2010,100.6
ukr,2008,106.3
ukr,2009,90.8
tjk,2003,129.7
svk,2007,104.3
svk,2012,98.8
che,1996,0.5
che,2011,0.7
svn,2001,103.2
svn,2004,102.0
svn,2009,102.5
zaf,2007,5780.0
chn,1996,102.8
chn,2008,110.7
col,1996,115.9
col,1997,120.7
col,2007,143.0
col,2012,148.6
cyp,1998,2.7
cyp,2002,2.7
cyp,2008,1.6
cyp,2009,2.7
hrv,2000,102.3
ury,1996,107.8
ury,2001,110.0
ury,2004,85.9
ury,2005,89.8
usa,1998,1217.0
usa,2000,1234.0
usa,2001,1233.0
usa,2005,1235.0
usa,2011,1527.1
hun,2004,99.3
hun,2009,96.5
kaz,2010,107.0
idn,1997,203452.5
idn,2002,248447.5
isr,1999,2.6
isr,2002,-6.1
isl,1996,85.6
isl,2001,102.0
isl,2011,108.9
kor,1996,2165412.0
kor,2002,2491492.4
lva,1995,102.0
lux,2005,100.0
kor,2013,2889377.0
ltu,2000,961.0
kgz,2005,111.8
kgz,2006,118.5
nzl,2007,3320.0
nzl,2009,2650.0
nzl,2010,3750.0
nic,1997,1196.0
nic,2006,1671.0
nic,2008,4012.9
nic,2013,4128.7
mda,1995,101.6
mda,1997,105.0
mda,2000,102.3
mda,2004,110.1
mda,2011,103.1
aze,1997,152.8
aze,2002,118.0
arm,2009,92862.0
blr,2012,121.5
aut,1997,1866.0
aut,2008,1917.0
rou,2001,93.8
rou,2012,184.2
phl,2007,4905.0
phl,2008,4694.0
phl,2010,4813.0
srb,2006,111.4
srb,2011,100.1
ukr,2001,119.3
tjk,1995,86.3
tjk,1999,108.2
tjk,2008,115.4
svk,2010,102.2
che,2005,-0.2
che,2008,-0.4
svn,2000,101.6
svn,2006,102.2
svn,2008,102.5
ukr,1995,110.6
chn,2000,111.3
chn,2009,112.6
chn,2011,108.6
cri,2005,262364.0
cri,2010,300391.0
col,2000,131.0
col,2002,134.2
col,2003,133.4
col,2005,137.6
col,2009,143.0
bra,2004,1491.1
bra,2006,1573.9
chl,2004,106.5
chl,2005,108.5
chl,2008,113.5
chl,2009,119.0
cyp,1999,3.0
cyp,2001,3.1
hrv,2002,104.3
hrv,2007,103.4
ury,2008,101.7
ury,2010,112.7
ury,2013,125.9
usa,2008,1247.0
usa,2010,1289.0
hun,1996,97.4
hun,2005,105.0
hun,2007,100.0
geo,2000,103.0
geo,2005,120.5
geo,2007,121.2
geo,2012,113.1
kaz,1996,102.6
kaz,1999,113.1
ken,2011,-8.6
idn,2008,247822.5
idn,2009,249730.0
isr,1997,2.4
isr,2003,-3.0
isl,1995,82.3
isl,2003,107.9
kor,1997,2218633.9
kor,2001,2303492.6
lva,2000,207.0
lva,2007,514.0
lva,2009,633.0
lux,1999,94.6
lux,2012,101.3
lux,2013,102.9
kor,2012,2818471.0
ltu,1995,345.0
ltu,1997,715.0
ltu,2002,1011.0
ltu,2008,1940.0
ltu,2011,1962.0
kgz,2008,108.8
kgz,2010,108.0
nic,2001,1423.0
nic,2005,1612.0
nic,2006,4823.9
mda,2009,108.6
mda,2010,100.7
aze,1995,79.6
aze,2006,111.4
blr,2004,117.4
blr,2006,117.3
aut,1999,1914.0
rou,2005,134.5
rou,2009,192.9
sau,2009,4470.0
phl,2003,5274.0
srb,2012,101.0
ukr,2005,120.3
tjk,2005,124.3
tjk,2007,117.8
tjk,2012,118.7
che,2002,1.1
che,2004,0.1
che,2007,0.9
svn,2003,101.8
svn,2013,98.0
chn,1998,116.2
chn,2005,112.5
cri,2006,266665.0
cri,2011,319410.0
col,1999,126.2
col,2008,141.1
bra,2009,1732.5
chl,2009,100.0
chl,2011,104.7
chl,2012,108.1
chl,2000,100.0
chl,2006,110.7
chl,2010,121.6
chl,2011,124.6
cyp,1995,3.4
cyp,2003,2.0
cyp,2004,1.9
cyp,2006,2.8
dom,2012,14167.8
hrv,2004,103.5
hrv,2006,102.9
hrv,2009,99.6
hrv,2011,99.0
ury,2000,110.3
usa,1996,1162.0
usa,1997,1187.0
usa,2004,1243.0
usa,2006,1248.0
usa,2010,1531.8
usa,2011,1277.0
hun,2011,101.3
geo,2003,105.8
kaz,2002,110.9
kaz,2011,107.2
idn,1998,145867.5
idn,1999,154112.5
idn,2011,261582.5
isr,1998,2.2
isr,2000,6.2
isl,2006,115.2
isl,2007,119.6
isl,2012,111.7
lva,2003,266.0
lva,2010,640.0
lux,1997,91.2
lux,1998,90.9
lux,2003,97.7
lux,2009,102.6
ltu,1999,981.0
kgz,1998,111.9
kgz,2001,110.9
kgz,2004,112.3
nzl,2008,3540.0
nic,2000,1363.0
nic,2003,1523.0
mda,1998,105.6
mda,2001,121.6
mda,2005,106.8
aze,1996,119.3
aze,2005,113.4
aze,2009,107.0
blr,2005,120.9
arm,2006,60538.0
arm,2013,149564.0
blr,2011,101.9
rou,1999,85.7
rou,2000,89.4
rou,2007,168.2
rou,2008,195.9
rou,2010,185.8
rou,2011,182.4
srb,2005,106.8
ukr,2003,115.2
ukr,2011,108.7
ukr,2013,108.2
tjk,1998,100.2
tjk,2000,110.6
tjk,2004,125.4
tjk,2006,115.6
svk,2013,101.0
che,1998,0.6
svn,2011,100.2
chn,1997,104.5
chn,2001,115.3
chn,2003,111.9
chn,2010,109.8
cri,2007,270305.0
cri,2009,291653.0
bra,2005,1514.0
bra,2007,1624.1
bra,2011,1846.3
bra,2012,1921.9
chl,2007,113.8
cyp,1996,3.1
dom,2011,13740.9
hrv,2008,101.1
hrv,2012,97.8
ury,2002,98.2
usa,1999,1230.0
usa,2013,1281.0
hun,2008,101.3
geo,2009,102.3
kaz,1998,105.9
kaz,2001,111.1
kaz,2011,107.1
ken,2012,-4.8
idn,2000,183742.5
idn,2003,257212.5
idn,2006,260630.0
idn,2007,256740.0
isr,2004,2.5
kor,1998,2012095.4
lva,1997,158.0
lva,2001,221.0
lux,2006,100.9
kor,2009,2714184.0
ltu,1996,496.0
ltu,2003,1085.0
ltu,2010,1963.0
kgz,1997,112.3
nzl,2005,3020.0
nic,1995,1224.0
nic,2002,1484.0
mda,2007,108.4
aze,2001,115.6
aze,2011,101.9
aze,2012,108.2
blr,2000,112.0
arm,2005,51750.0
arm,2010,94872.0
blr,2013,116.4
aut,2001,1878.0
aut,2003,1876.0
aut,2004,1863.0
aut,2006,1895.0
aut,2007,1921.0
rou,1996,109.4
rou,2002,96.1
rou,2004,117.7
sau,2012,5285.0
phl,2005,4931.0
srb,2003,114.0
srb,2008,103.9
srb,2009,100.2
srb,2013,98.1
ukr,2007,112.5
tjk,1996,98.0
tjk,2002,117.2
che,1997,0.0
che,2003,0.8
che,2010,0.1
svn,2005,101.1
svn,2010,102.1
svn,2012,97.6
ukr,2000,99.1
zaf,2010,6586.0
chn,2006,112.9
chn,2012,109.0
cri,2012,324460.0
col,1998,120.9
col,2010,147.1
bra,2008,1679.2
bra,2013,1957.4
chl,2010,102.2
chl,2003,104.6
cyp,2010,0.0
hrv,2005,101.3
ury,1997,108.1
ury,2012,122.2
usa,2002,1248.0
usa,2003,1249.0
usa,2007,1515.7
usa,2008,1499.4
usa,2009,1273.0
hun,1995,91.1
hun,1997,103.4
geo,2001,125.0
geo,2008,132.1
kaz,1995,100.4
kaz,2003,107.0
kaz,2005,111.7
kaz,2006,110.3
kaz,2013,101.6
idn,2001,222735.0
idn,2005,277347.5
isr,2005,1.0
isr,2010,0.7
isl,1999,98.5
isl,2004,109.4
kor,1995,2030466.2
kor,1999,2159273.7
kor,2004,2689835.4
lux,2001,97.3
lux,2008,101.9
kor,2010,2816188.0
kgz,1999,91.9
kgz,2007,110.2
kgz,2009,107.3
kgz,2011,112.2
nzl,2000,2510.0
nic,2008,1390.0
mda,2002,120.9
mda,2008,108.7
swe,2013,24700.0
usa,1995,1157.0
usa,1996,1162.0
usa,2002,1248.0
usa,2004,1242.0
swe,1997,17700.0
swe,2003,20900.0
swe,2005,22100.0
swe,2008,23000.0
usa,2000,1234.0
usa,2005,1234.0
zaf,2012,6976.0
swe,2000,19800.0
swe,2009,23700.0
swe,2011,23700.0
usa,1998,1217.0
usa,1999,1230.0
usa,2003,1248.0
zaf,2013,6971.0
swe,1996,16900.0
swe,1998,18400.0
swe,2001,20300.0
swe,2002,20600.0
swe,2004,21500.0
swe,2006,22400.0
swe,1999,19200.0
swe,2010,23800.0
usa,1997,1187.0
usa,2006,1247.0
swe,2007,22600.0
swe,1995,16000.0
usa,2001,1233.0
usa,2012,1532.5
swe,2012,24200.0
usa,2013,1537.0
